Gis_X,Gis_Y,Distrito,Barrio,Calle,Nº Finca,Color,Batería/Línea,Número de Plazas,Location,Address
"439629.6,4474655.22,01  CENTRO,01-01 PALACIO,ENCARNACION; CALLE; DE LA,8,Verde,Línea,12,439629.6:4474655.22, CALLE  DE LA ENCARNACION 8"
"439630.55,4474659.8,01  CENTRO,01-01 PALACIO,ENCARNACION; CALLE; DE LA,8,Verde,Línea,2,439630.55:4474659.8, CALLE  DE LA ENCARNACION 8"
"439622.35,4474669.55,01  CENTRO,01-01 PALACIO,ENCARNACION; CALLE; DE LA,10,Verde,Línea,3,439622.35:4474669.55, CALLE  DE LA ENCARNACION 10"
"439674.88,4474573.75,01  CENTRO,01-01 PALACIO,ENCARNACION; PLAZA; DE LA,4,Verde,Línea,5,439674.88:4474573.75, PLAZA  DE LA ENCARNACION 4"
"439680.97,4474570.9,01  CENTRO,01-01 PALACIO,ENCARNACION; PLAZA; DE LA,4,Verde,Línea,5,439680.97:4474570.9, PLAZA  DE LA ENCARNACION 4"
"439820.86,4474303.54,01  CENTRO,01-01 PALACIO,ESCALINATA; CALLE; DE LA,9,Verde,Línea,6,439820.86:4474303.54, CALLE  DE LA ESCALINATA 9"
"439618.28,4474925.35,01  CENTRO,01-01 PALACIO,ESPAÑA; PLAZA; DE,5,Verde,Línea,1,439618.28:4474925.35, PLAZA  DE ESPAÑA 5"
"439776.49,4474313.15,01  CENTRO,01-01 PALACIO,ESPEJO; CALLE; DEL,15,Verde,Línea,5,439776.49:4474313.15, CALLE  DEL ESPEJO 15"
"439548.61,4474156.88,01  CENTRO,01-01 PALACIO,FACTOR; CALLE; DEL,5,Verde,Línea,4,439548.61:4474156.88, CALLE  DEL FACTOR 5"
"439537.3,4474205.31,01  CENTRO,01-01 PALACIO,FACTOR; CALLE; DEL,7,Verde,Línea,1,439537.3:4474205.31, CALLE  DEL FACTOR 7"
"439524.85,4474228.69,01  CENTRO,01-01 PALACIO,FACTOR; CALLE; DEL,14,Verde,Línea,4,439524.85:4474228.69, CALLE  DEL FACTOR 14"
"439785.14,4474867.94,01  CENTRO,01-01 PALACIO,FLOR BAJA; CALLE; DE LA,5,Verde,Línea,5,439785.14:4474867.94, CALLE  DE LA FLOR BAJA 5"
"439762.8,4474877.87,01  CENTRO,01-01 PALACIO,FLOR BAJA; CALLE; DE LA,6,Verde,Línea,2,439762.8:4474877.87, CALLE  DE LA FLOR BAJA 6"
"439740.7,4474887.9,01  CENTRO,01-01 PALACIO,FLOR BAJA; CALLE; DE LA,11,Verde,Línea,6,439740.7:4474887.9, CALLE  DE LA FLOR BAJA 11"
"439732.98,4474736.72,01  CENTRO,01-01 PALACIO,FOMENTO; CALLE; DE,14,Verde,Línea,9,439732.98:4474736.72, CALLE  DE FOMENTO 14"
"439697.94,4474819.13,01  CENTRO,01-01 PALACIO,FOMENTO; CALLE; DE,30,Verde,Línea,6,439697.94:4474819.13, CALLE  DE FOMENTO 30"
"439683.23,4474851.61,01  CENTRO,01-01 PALACIO,FOMENTO; CALLE; DE,36,Verde,Línea,3,439683.23:4474851.61, CALLE  DE FOMENTO 36"
"439364.46,4473780.19,01  CENTRO,01-01 PALACIO,GABRIEL MIRO; PLAZA; DE,2,Verde,Línea,10,439364.46:4473780.19, PLAZA  DE GABRIEL MIRO 2"
"439367.58,4473772.2,01  CENTRO,01-01 PALACIO,GABRIEL MIRO; PLAZA; DE,2,Verde,Línea,16,439367.58:4473772.2, PLAZA  DE GABRIEL MIRO 2"
"439356.61,4473747.4,01  CENTRO,01-01 PALACIO,GABRIEL MIRO; PLAZA; DE,4,Verde,Línea,5,439356.61:4473747.4, PLAZA  DE GABRIEL MIRO 4"
"439338.36,4473729.73,01  CENTRO,01-01 PALACIO,GABRIEL MIRO; PLAZA; DE,7,Verde,Línea,4,439338.36:4473729.73, PLAZA  DE GABRIEL MIRO 7"
"439344.28,4473723.1,01  CENTRO,01-01 PALACIO,GABRIEL MIRO; PLAZA; DE,7,Verde,Batería,10,439344.28:4473723.1, PLAZA  DE GABRIEL MIRO 7"
"439929.49,4473868.67,01  CENTRO,01-01 PALACIO,GRAFAL; CALLE; DE,6,Verde,Línea,4,439929.49:4473868.67, CALLE  DE GRAFAL 6"
"439556.66,4473267.7,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,4,Verde,Línea,5,439556.66:4473267.7, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 4"
"439539.59,4473264.5,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,5,Verde,Línea,3,439539.59:4473264.5, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 5"
"439557.92,4473233.14,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,5,Verde,Línea,9,439557.92:4473233.14, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 5"
"439532.28,4473308.17,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,6,Verde,Línea,9,439532.28:4473308.17, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 6"
"439518.23,4473300.7,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,9,Verde,Línea,11,439518.23:4473300.7, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 9"
"439477.39,4473375.8,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,11,Verde,Línea,2,439477.39:4473375.8, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 11"
"439469.83,4473394.98,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,11,Verde,Línea,1,439469.83:4473394.98, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 11"
"439464.64,4473408.89,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,11,Verde,Línea,3,439464.64:4473408.89, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 11"
"439487.66,4473392.83,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,11,Verde,Línea,6,439487.66:4473392.83, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 11"
"439456.52,4473476.98,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,17,Verde,Línea,22,439456.52:4473476.98, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 17"
"439447.18,4473455.79,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,17,Verde,Línea,9,439447.18:4473455.79, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO 17"
"439494.49,4473341.34,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,S/N,Verde,Línea,2,439494.49:4473341.34, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO S/N"
"439451.46,4473320.82,01  CENTRO,01-01 PALACIO,GRAN VIA DE SAN FRANCISCO; AVENIDA; DE LA,S/N,Verde,Línea,20,439451.46:4473320.82, AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO S/N"
"439721.75,4474632.73,01  CENTRO,01-01 PALACIO,GUILLERMO ROLLAND; CALLE; DE,2,Verde,Línea,3,439721.75:4474632.73, CALLE  DE GUILLERMO ROLLAND 2"
"439681.1,4474683.21,01  CENTRO,01-01 PALACIO,GUILLERMO ROLLAND; CALLE; DE,11,Verde,Línea,4,439681.1:4474683.21, CALLE  DE GUILLERMO ROLLAND 11"
