"Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula;Location;Address"
"439316.9016;4473935.377;41785;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;29;301110026;439316.9016:4473935.377; CALLE  DE SEGOVIA 29"
"439263.5484;4473950.959;41785;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;35;301110025;439263.5484:4473950.959; CALLE  DE SEGOVIA 35"
"439121.6752;4473762.896;41787;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;9;301110060;439121.6752:4473762.896; RONDA  DE SEGOVIA 9"
"439073.2807;4473645.576;41786;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;23;301110052;439073.2807:4473645.576; RONDA  DE SEGOVIA 23"
"439156.3223;4473454.76;41786;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;43;301110053;439156.3223:4473454.76; RONDA  DE SEGOVIA 43"
"439219.1557;4473359.451;41787;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;55;301110068;439219.1557:4473359.451; RONDA  DE SEGOVIA 55"
"439356.2812;4473286.115;41787;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;69;301110071;439356.2812:4473286.115; RONDA  DE SEGOVIA 69"
"439479.5723;4473224.243;41787;01  CENTRO;01-01 PALACIO;SEGOVIA, RONDA, DE;85;301110075;439479.5723:4473224.243; RONDA  DE SEGOVIA 85"
"439922.1557;4474676.326;41755;01  CENTRO;01-01 PALACIO;SILVA, CALLE, DE;2;301110008;439922.1557:4474676.326; CALLE  DE SILVA 2"
"439929.1557;4473723.826;41786;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;50;301110047;439929.1557:4473723.826; CALLE  DE TOLEDO 50"
"439649.2898;4473254.298;41788;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;106;301110074;439649.2898:4473254.298; CALLE  DE TOLEDO 106"
"439315.4989;4474040.499;41821;01  CENTRO;01-01 PALACIO;VEGA, CUESTA, DE LA;1;301120020;439315.4989:4474040.499; CUESTA  DE LA VEGA 1"
"439253.677;4474038.737;41821;01  CENTRO;01-01 PALACIO;VEGA, CUESTA, DE LA;3;301120019;439253.677:4474038.737; CUESTA  DE LA VEGA 3"
"439454.6283;4473327.555;41787;01  CENTRO;01-01 PALACIO;VENTOSA, CALLE, DE LA;FRENTE 19;301110070;439454.6283:4473327.555; CALLE  DE LA VENTOSA FRENTE 19"
"439685.561;4474340.56;41785;01  CENTRO;01-01 PALACIO;VERGARA, CALLE, DE;9;301110015;439685.561:4474340.56; CALLE  DE VERGARA 9"
"439540.6985;4473987.36;41785;01  CENTRO;01-01 PALACIO;VILLA, CALLE, DE LA;2;301110028;439540.6985:4473987.36; CALLE  DE LA VILLA 2"
"439594.5452;4473328.884;41787;01  CENTRO;01-01 PALACIO;VIRGEN DE LA PALOMA, PLAZA, DE LA;5;301110067;439594.5452:4473328.884; PLAZA  DE LA VIRGEN DE LA PALOMA 5"
"439927.1852;4473440.612;41787;01  CENTRO;01-02 EMBAJADORES;AMAZONAS, CALLE, DE LAS;1;301210024;439927.1852:4473440.612; CALLE  DE LAS AMAZONAS 1"
"440529.347;4473187.919;41789;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;87;301210057;440529.347:4473187.919; CALLE  DE AMPARO 87"
"440558.5111;4473124.54;41789;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;99;301210064;440558.5111:4473124.54; CALLE  DE AMPARO 99"
"439770.6463;4473304.5;41788;01  CENTRO;01-02 EMBAJADORES;ARGANZUELA, CALLE, DE LA;FRENTE 12;301210036;439770.6463:4473304.5; CALLE  DE LA ARGANZUELA FRENTE 12"
"440630.2213;4473311.681;41788;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;7;301210042;440630.2213:4473311.681; CALLE  DE ARGUMOSA 7"
"440718.989;4473280.993;41787;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;16;301210015;440718.989:4473280.993; CALLE  DE ARGUMOSA 16"
"440948.2884;4473192.936;41789;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;30;301210060;440948.2884:4473192.936; CALLE  DE ARGUMOSA 30"
"440802.5792;4473273.212;41788;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;FRENTE 22;301210052;440802.5792:4473273.212; CALLE  DE ARGUMOSA FRENTE 22"
"440424.6557;4473907.451;41787;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;35;301210006;440424.6557:4473907.451; CALLE  DE ATOCHA 35"
"441085.1557;4473489.993;41788;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;119;301210033;441085.1557:4473489.993; CALLE  DE ATOCHA 119"
"440854.7938;4473129.517;41789;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;16;301210061;440854.7938:4473129.517; RONDA  DE ATOCHA 16"
"440520.8871;4473546.968;41787;01  CENTRO;01-02 EMBAJADORES;AVE MARIA, CALLE, DEL;32;301210019;440520.8871:4473546.968; CALLE  DEL AVE MARIA 32"
"440463.812;4473671.727;41787;01  CENTRO;01-02 EMBAJADORES;CALVARIO, CALLE, DEL;27;301210014;440463.812:4473671.727; CALLE  DEL CALVARIO 27"
"439908.509;4473148.525;41789;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;2;301210066;439908.509:4473148.525; PLAZA  DEL CAMPILLO DEL MUNDO NUEVO 2"
"439834.3601;4473139.745;41788;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;8;301210053;439834.3601:4473139.745; PLAZA  DEL CAMPILLO DEL MUNDO NUEVO 8"
"440468.1067;4473823.813;41787;01  CENTRO;01-02 EMBAJADORES;CAÑIZARES, CALLE, DE LOS;6;301210007;440468.1067:4473823.813; CALLE  DE LOS CAÑIZARES 6"
"439713.2192;4473222.793;41788;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;FRENTE 5;301210047;439713.2192:4473222.793; CALLE  DEL CAPITAN SALAZAR MARTINEZ FRENTE 5"
"439893.2192;4473279.239;41788;01  CENTRO;01-02 EMBAJADORES;CARLOS ARNICHES, CALLE, DE;17;301210037;439893.2192:4473279.239; CALLE  DE CARLOS ARNICHES 17"
"439996.8483;4473663.911;41787;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;1;301210013;439996.8483:4473663.911; PLAZA  DE CASCORRO 1"
"440002.2865;4473502.243;41787;01  CENTRO;01-02 EMBAJADORES;CASCORRO, PLAZA, DE;12;301210022;440002.2865:4473502.243; PLAZA  DE CASCORRO 12"
"440007.1415;4473050.532;41789;01  CENTRO;01-02 EMBAJADORES;CASINO, CALLE, DEL;7;301210067;440007.1415:4473050.532; CALLE  DEL CASINO 7"
"440180.797;4473156.364;41789;01  CENTRO;01-02 EMBAJADORES;CASINO, CALLE, DEL;12;301210056;440180.797:4473156.364; CALLE  DEL CASINO 12"
"440104.4496;4473826.701;41786;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;6;301210003;440104.4496:4473826.701; CALLE  DE LA COLEGIATA 6"
"440052.8303;4473848.75;41786;01  CENTRO;01-02 EMBAJADORES;COLEGIATA, CALLE, DE LA;10;301210002;440052.8303:4473848.75; CALLE  DE LA COLEGIATA 10"
"440211.6917;4473937.73;41786;01  CENTRO;01-02 EMBAJADORES;CONCEPCION JERONIMA, CALLE, DE LA;6;301210001;440211.6917:4473937.73; CALLE  DE LA CONCEPCION JERONIMA 6"
"440204.4057;4473863.701;41787;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;7;301210004;440204.4057:4473863.701; CALLE  DEL CONDE DE ROMANONES 7"
