TX_CAPA;TX_NOMBRE;Shape_Leng
CICLOCALLES;Calle V›a Lusitana;202,9226294
CICLOCALLES;Calle de Mercedes Arteaga;316,5992725
PEATONAL;Plaza de Fernﬂndez Ladreda;183,7650824
PEATONAL;Calle V›a Lusitana;168,1866896
CICLOCALLES;Calle de Fernando Gonzﬂlez;200,9406552
CICLOCALLES;Calle de Josefa Fernﬂndez Buterga;147,2850865
CICLOCALLES;Calle del Radio;304,9386385
CICLOCALLES;Calle del Camino Viejo de Legan⁄s;815,9862169
CICLOCALLES;Calle de Alejandro Gonzﬂlez;323,2041764
CICLOCALLES;Calle del Gorriæn;235,4629645
CICLOCALLES;Calle del Alf⁄rez Juan Usera;44,61351668
CICLOCALLES;Calle de Zaida;611,4940328
CICLOCALLES;Calle del Valle de Oro;774,0535312
CICLOCALLES;Calle de la V›a;463,3472714
CICLOCALLES;Calle de Nicolﬂs Morales;242,687435
CICLOCALLES;Calle de la Tærtola;110,1935441
CICLOCALLES;Calle de Matilde Hernﬂndez;385,2892481
CICLOCALLES;Calle de la Gaviota;199,1021824
CICLOCALLES;Calle de Zaida;278,5266797
CICLOCALLES;Calle de Carlos Dabﬂn;169,6820825
CICLOCALLES;Calle de Carlos Dabﬂn;101,141019
CICLOCALLES;Calle del Arroyo Valdecelada;165,0500108
CICLOCALLES;Calle de Carlos Dabﬂn;71,30120898
CICLOCALLES;Calle de Zaida;30,74324344
CICLOCALLES;Calle de Portalegre;114,0854524
CICLOCALLES;Calle de Portalegre;269,9134495
CICLOCALLES;Calle del Comandante Fontanes;405,3742994
CICLOCALLES;Calle de Sallaberry;47,70378284
PEATONAL;;76,35308518
PEATONAL;Calle de San Pompeyo;33,57534462
PEATONAL;Plaza de Fernﬂndez Ladreda;49,75726283
PEATONAL;Manzanares;336,7225743
CICLOCALLES;Calle de la Inmaculada Concepciæn;699,7477433
CICLOCALLES;Calle de Manuel Noya;130,9265656
CICLOCALLES;Calle de Tomﬂs Meabe;304,58236
CICLOCALLES;Calle de Salasierra;155,0613453
CICLOCALLES;Calle de Antonio de Leyva;60,97841906
CICLOCALLES;Calle de Baleares;554,4354912
CICLOCALLES;Calle de Manuel Noya;53,61046387
CICLOCALLES;Calle de Sorbe;51,15222764
CICLOCALLES;Calle de Antonio de Leyva;24,27170794
PEATONAL;Glorieta del Marqu⁄s de Vadillo;314,7456024
CICLOCALLES;Calle de Juliﬂn Gonzﬂlez;63,75740204
CICLOCALLES;Calle del General Ricardos;42,21714207
PEATONAL;Calle del General Ricardos;44,30803886
PEATONAL;Manzanares;92,53038343
CICLOCALLES;Avenida de la Emperatriz Isabel;247,6042387
CICLOCALLES;Paseo del Quince de Mayo;259,5816174
PEATONAL;Paseo de San Illﬂn;126,0749417
CICLOCALLES;Calle de San Marcos;115,6222457
CICLOCALLES;Calle de la Libertad;180,7302524
CICLOCALLES;Calle de Luis de Gængora;112,5155242
CICLOCALLES;Calle de Jacinto Verdaguer;221,7125811
PEATONAL;Calle de Toledo;320,4715842
PEATONAL;Paseo de Santa Mar›a de la Cabeza;174,2051402
CICLOCALLES;Calle de Juan Espa±ol;446,522413
PEATONAL;Manzanares;89,33782036
PEATONAL;Parque del Oeste;374,9929026
PEATONAL;Paseo del Pintor Rosales;172,9738362
PEATONAL;Manzanares;181,9412688
PEATONAL;Plaza de Oriente;169,1718494
CICLOCALLES;Paseo del Rey;592,9047927
CICLOCALLES;Calle de los Chulapos;138,4727642
CICLOCALLES;Paseo de la Puerta del ?ngel;216,645906
CICLOCALLES;Calle de Altamirano;549,7108169
CICLOCALLES;Calle de Ruy Gonzﬂlez de Clavijo;154,4301468
CICLOCALLES;Calle de la Rosaleda;639,6871217
CICLOCALLES;Calle del Buen Suceso;442,9079443
CICLOCALLES;Calle de Trujillos;135,1676347
CICLOCALLES;Calle de Santa ?rsula;180,8548167
CICLOCALLES;Calle de Caramuel;636,3950244
CICLOCALLES;Calle de Antonio Zamora;483,1763674
CICLOCALLES;Calle de Caramuel;170,1447515
CICLOCALLES;Paseo de la Puerta del ?ngel;312,4289007
CICLOCALLES;Calle de Fruela;145,4600084
CICLOCALLES;Paseo de la Puerta del ?ngel;209,773704
PEATONAL;Manzanares;19,99536494
PEATONAL;Puente de Segovia;107,1314031
PEATONAL;Puente de Segovia;109,5349624
PEATONAL;Avenida de Portugal;49,65732664
CICLOCALLES;Calle de San Pol de Mar;145,9485161
PEATONAL;Calle de Francisco y Jacinto Alcﬂntara;214,4969047
PEATONAL;Glorieta de San Antonio de la Florida;121,9915646
CICLOCALLES;Calle de Francisco y Jacinto Alcﬂntara;222,1400586
CICLOCALLES;Casa de Campo;194,33489
CICLOCALLES;Calle de Santa Pola;139,1949817
CICLOCALLES;Calle de Santa Fe;91,33679031
PEATONAL;Calle de Santa Pola;39,8997791
PEATONAL;Manzanares;83,00181564
CICLOCALLES;Glorieta de San Antonio de la Florida;161,8459807
PEATONAL;Manzanares;50,71179244
PEATONAL;Paseo del Pintor Rosales;191,4731126
CICLOCALLES;Calle de Francisco y Jacinto Alcﬂntara;208,7904814
CICLOCALLES;Calle de San Isidro de Sevilla;158,7986566
CICLOCALLES;Calle de Santa Casilda;185,8337007
PEATONAL;Calle de Bercial;26,77588677
CICLOCALLES;Calle de San Dﬂmaso;153,8329166
PEATONAL;Ronda de Toledo;87,00974217
CICLOCALLES;Calle de los Tintoreros;32,71258069
CICLOCALLES;Plaza del Comandante las Morenas;48,28976945
CICLOCALLES;Plaza de Puerta Cerrada;45,548311
CICLOCALLES;Calle de San Quint›n;30,82619251
CICLOCALLES;Calle del Roble;131,2777242
PEATONAL;Calle de Carlos III;82,95900361
CICLOCALLES;Calle de Lepanto;66,26474904
CICLOCALLES;Calle de las Fuentes;167,263513
CICLOCALLES;Calle de Ventura Rodr›guez;227,3726913
CICLOCALLES;Calle de Bernardo Læpez Garc›a;169,646384
CICLOCALLES;Traves›a del Conde Duque;208,6180683
CICLOCALLES;Calle de Calamocha;90,49374684
CICLOCALLES;Calle de Amaniel;501,9731174
CICLOCALLES;Calle de Luisa Fernanda;82,49338361
CICLOCALLES;Calle de Tutor;282,5614298
CICLOCALLES;Calle de Juan ?lvarez Mendizﬂbal;579,9827797
CICLOCALLES;Plaza de Cristino Martos;32,55537777
CICLOCALLES;Calle del Duque de Liria;208,1869352
CICLOCALLES;Calle de San Bernardino;270,0326324
CICLOCALLES;Calle de las Negras;64,43739103
CICLOCALLES;Paseo del Rey;302,0111088
CICLOCALLES;Calle de Evaristo San Miguel;360,39327
CICLOCALLES;Glorieta de San Vicente;193,6288371
CICLOCALLES;Calle de Mart›n de los Heros;157,723844
PEATONAL;Calle de Alberto Aguilera;152,9939723
PEATONAL;Calle de la Princesa;106,7219279
CICLOCALLES;Avenida de Portugal;49,2680799
CICLOCALLES;Calle de Saavedra Fajardo;280,7843909
