FID;Modelo;Fabricante;Situación;ENLACE;GRAD_X;GRAD_Y
80;154B Esquí de Fondo;TUYO HPC;Chafira;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,28944026;28,44606897
81;202T Bicicleta Estática;TUYO HPC;Pza. Nuestra Sra. de las Nieves;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,21694479;28,56100475
82;155I El Remo;TUYO HPC;Pza. Nuestra Sra. de las Nieves;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,21695863;28,56100727
83;155I El Remo;TUYO HPC;Zafiro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,28831174;28,45406194
84;155G Las Ruedas;TUYO HPC;Zafiro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/15GF.pdf;-16,28834001;28,45403419
85;202T Bicicleta Estática;TUYO HPC;Zafiro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,28836637;28,45405428
86;202T Bicicleta Estática;TUYO HPC;Pza. del Rosario;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,27547283;28,45287564
87;155B Los Patines;TUYO HPC;Pza. del Rosario;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,27548961;28,45289889
88;155I El Remo;TUYO HPC;Colegio Afur;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,24940582;28,55504011
89;202T Bicicleta Estática;TUYO HPC;Colegio Afur;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,24939835;28,55504319
90;155E Silla Pectorales;TUYO HPC;Río Guadalete;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,27653523;28,47365657
91;155I El Remo;TUYO HPC;Río Guadalete;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,27655023;28,47369341
92;155I El Remo;TUYO HPC;Izquierdo Azcárate;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,27233846;28,45782555
93;202T Bicicleta Estática;TUYO HPC;Izquierdo Azcárate;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,27229717;28,45782593
94;202T Bicicleta Estática;TUYO HPC;Paseo Peatonal Las Asuncionistas;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,26241804;28,4664962
95;155I El Remo;TUYO HPC;Paseo Peatonal Las Asuncionistas;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,26270084;28,4666122
96;155H El Jinete;TUYO HPC;Pza. Duggi;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,25973943;28,46620815
97;154C Slalom;TUYO HPC;Pza. Duggi;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154C.pdf;-16,25966173;28,46620244
98;154B Esquí de Fondo;TUYO HPC;Pza. Duggi;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,25958641;28,46619349
99;207T Step & Twist;TUYO HPC;Cmo. La Ermita;https://www.santacruzdetenerife.es/fileadmin/biosaludables/207T.pdf;-16,26999981;28,47256096
100;155B Los Patines;TUYO HPC;Cmo. La Ermita;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,27000171;28,47261775
101;154B Esquí de Fondo;TUYO HPC;Curva El Arco Iris;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,28797377;28,44701215
102;155I El Remo;TUYO HPC;Curva El Arco Iris;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,2879767;28,4470284
103;155B Los Patines;TUYO HPC;Avda. Príncipes de España;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155C.pdf;-16,28402111;28,45550963
104;155E Silla Pectorales;TUYO HPC;Avda. Príncipes de España;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,28386262;28,45595514
105;155I El Remo;TUYO HPC;Res. San Pío X;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,28374374;28,4494528
106;155H El Jinete;TUYO HPC;Res. San Pío X;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,28368632;28,44951909
107;155E Silla Pectorales;TUYO HPC;García Lorca;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,27083891;28,45725665
108;154B Esquí de Fondo;TUYO HPC;García Lorca;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,27082947;28,45717742
109;202T Bicicleta Estática;TUYO HPC;Poeta Francisco Izquierdo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,27094571;28,45762562
110;155D Barra estiramientos;TUYO HPC;Avda. Marítima;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155D.pdf;-16,24809249;28,46308186
111;155E Silla Pectorales;TUYO HPC;Avda. Marítima;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,2480835;28,46306733
112;154B Esquí de Fondo;TUYO HPC;Avda. Marítima;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,24808931;28,46305013
